	31 December 2022 (` in million)						
	Gratuity Scheme Funded Plan		Pension Scheme Funded Future Ready Plan		Pension Scheme Unfunded Plan		
							
	2,627.8		13,614.2		8,483.4		
	-		-		-		
	169.8		-		407.1		
	-		-		-		
	-		-		21.2		
	169.6		920.4		551.9		
	(121.0)		-		(1,485.9)		
	(230.9)		(1,345.2)		(275.6)		
	-		-		(180.2)		
	-		-		-		
	2,615.3		13,189.4		7,521.9		
							
							
	2,325.5		-		-		
	160.8		-		-		
	343.0		-		-		
	(84.5)		-		-		
	(230.9)		-		-		
	2,513.9		-		-		
	101.4		13,189.4		7,521.9		
							
	101.4		12,338.7		7,356.4		
	-		850.7		165.5		
