	qm=;=		sfoqmd	sfoIfq	;xofuL ;:yf						
	!			p2]Zo ;fk]If e"ld kzf;g b]zLo /0fgLlt sfof{Gjog, gLltut ;xof]u tyf Ifdtf ljsf;			!$ :yfgLo tx Pj+ gLltut tx		oPg–Xoflj6\of6		
	@		klta4 bO{			afxla;] gu/kflnsf / ef]6]sf];L ufpFkflnsf -l;GwkfNrf]s_, gf}s08 / pQ/uof ufpFkflnsf -/;jf_		lkkn Og lg8			
	#		;a\u7g ;anLs/0f, e"ld clwsf/ bfjL, gLltut kxn, cWoog÷cg;Gwfg			/fli6«o tx -uf}/Lua\uf, j]bsf]6, uef{sf]6 gu/kflnsf_		cfOPn;L			
	$		klta4tfdf cfwfl/t kxn -kf/bzL{ / ;xh ;"rgf, e"ld sAhflj?4 kefjsf/L kxn / e"ld clwsf/sdL{x¿sf] ;/Iff / Ifdtf clej[l4_			/fli6«o tx -cWoog÷cg;Gwfg_		cfOPn;L			
	%		e"ldxLg dlxnf s[lif ;xsf/L ka4{g cleofg			alb{of, bfa / s}nfnL		dfOqmf] qm]l86 6 db;{			
	^		e"ld–s[[lif cleofg			gLltut, cWoog÷cg;Gwfg		PS;gP8 g]kfn			
	&		e"kl/lwdf cfwfl/t dfgj ks[lt ;dGoflos cjwf/0ff			hf]/fon ufpFkflnsf, cflntfn ufpFkflnsf, k/z/fd gu/kflnsf, eLdbQ gu/kflnsf		cS;kmfd			
	*		:jtGq, k"j{;"lrt ;xdlt cleofg			/;jf		cS;kmfd			
	(		lbuf] ;dfwfg #			;Ktsf];L / s6xl/of gu/kflnsf		lkkn Og lg8			
	!)		hnjfod}qL s[lif kj4{g			uf}zfnf gu/kflnsf / kfFrkf]v/L ufpFkflnsf		jN8{ lhlj; l/lnkm			
