S.N.	Name	Post	Date	Remarks	
4	Mr. Sishir Kumar Dhungana	Finance Secretary	2076.11.01	Discharge ofposition w.e.f.2078.04.17	
5	Dr.Neelam Dhungana(Timsina)	Deputy Governor	2077.11.25		
6	Mr.Bam Bahadur Mishra	Deputy Governor	2077.11.25		
7	Mr. Chinta Mani Siwakoti	Board Member	2079.02.06		
8	Mr. Shankar Prasad Acharya	Board Member	2079.02.06		
9	Dr. Sri Ram Poudyal	Board Member	2074.01.03	Discharge ofposition w.e.f.2079.01.03	
10	Mr. Ramjee Regmi	Board Member	2074.01.03	Discharge ofposition w.e.f.2079.01.03	
11	CA. Dr. Suvod Kumar Karn	Board Member	2075.01.11		
12	Mr. Bhuban Kadel	Executive Director	2072.12.03	Retired w.e.f2078.09.10	
13	Dr. Nephil Matangi Maskay	Executive Director	2073.01.12		
14	Mr. Dev Kumar Dhakal	Executive Director	2074.12.14		
15	Mr. Mukunda Kumar Chhetri	Executive Director	2074.12.14		
16	Mr. Pitambar Bhandari	Executive Director	2074.12.14		
17	Mr. Rishikesh Bhatta	Executive Director	2075.05.12		
18	Mr. Pradeep Raj Poudyal	Executive Director	2075.06.18		
19	Dr. Gunakar Bhatta	Executive Director	2075.07.06		
20	Mr. Naresh Shakya	Executive Director	2076.02.31		
21	Mr. Suman Kumar Adhikari	Executive Director	2076.03.11		
22	Dr. Prakash Kumar Shrestha	Executive Director	2076.03.11		
23	Mr. Revati Prasad Nepal	Executive Director	2076.10.13		
24	Mr. Ramu Poudel	Executive Director	2077.01.12		
25	Mr. Vishrut Thapa	Executive Director	2077.01.12		
26	Mr. Ram Bahadur Manandhar	Executive Director	2077.01.12		
27	Mr.Dayaram Sharma	Executive Director	2078.06.19		
28	Mr.Tulashi Prasad Ghimire	Executive Director	2078.06.19		
29	Mr. Guru Prasad Paudel	Executive Director	2078.09.23		
30	Mr. Bimal Raj Khanal	Executive Director	2078.12.01		
