																			
	Allowancesfor ExpectedCredit Lossfor		ndBalance as on 32Asar 2079		stBalance as on 31Asar 2078														
																			
																Total			
																			
	BankBalance		6,738,079		-		4,434,400		11,172,479		9,606,684		-		-		9,606,684		
																			
	Investment inSecurities		245,845,289		-		-		245,845,289		280,477,966		-		-		280S,4t7a7g,9e6 6I		
																			
	TermDeposit		438,314,376		-		59,069,222		497,383,597		414,201,021		-		59,069,222		473,270,243		
																			
	Loans andadvances toBFIs		15,330,529		-		-		15,330,529		16,735,281		-		-		Stage II16,735,281		
																			
	OtherReceivables		3,019,408		-		5,471,103		8,490,511		2,229,044		-		5,471,103		Stage III7,700,147		
																			
	Total		709,247,682		-		68,974,724		778,222,406		723,249,996		-		64,540,324		787,790,320		
																			
