																												
ForeignCurrencyFinancialLiabilities																												
Derivativefinancialliabilities	0	0	0	0	0	0	0	0	0																			
Deposit ofbank andfinancialinstitutions	8,381,976,706	0	162,483,597	0	8,857,641	0	98,317,500	1,894,922,300	0																			
IMF relatedliabilities	0	0	0	0	0	0	0	0	36,615,934,363																			
																												
Totalforeigncurrencyfinancialliabilities	8,381,976,706	0	162,483,597	0	8,857,641	0	98,317,500	1,894,922,300	36,615,934,363																			
	Net																											
Foreign																												
		513,015,070,95			18,859,347,10			18,538,532,13			10,222,134,48			6,056,684,02			2,216,384,55			,746,747,74			,231,021,20			(11,047,752,208		
Currency																												
																												
Exposure																												
