	Impact on Profit or Loss				
	In case of Strengthening or Weakening of Currency by 10%				
	For the Year Ended 2079	For the Year Ended 2078			
	Strengthening	Weakening	Strengthening	Weakening	
USD	51,301,507,095	-51,301,507,095	69,855,807,045	69,855,807,045	
AUD	605,668,403	-605,668,403	1,191,385,379	1,191,385,379	
EUR	123,102,120	-123,102,120	-888,297,824	-888,297,824	
GBP	1,853,853,213	-1,853,853,213	348,698,483	348,698,483	
CNY	21,885,934,710	-21,885,934,710	20,075,328,221	20,075,328,221	
CAD	1,022,213,448	-1,022,213,448	852,439,904	852,439,904	
SDR	-1,104,775,221	1,104,775,221	-1,114,451,630	-1,114,451,630	
JPY	174,674,774	-174,674,774	63,420,773	63,420,773	
SAR	221,638,455	-221,638,455	22,244,224	22,244,224	
Total	76,083,816,998	-76,083,816,998	90,406,574,574	90,406,574,574	
