Parameter	FY 2022	FY 2021	
From renewable sources			
Total electricity consumption (A)	757,833	106,749	
Total fuel consumption (B)	570,184	269,573	
Energy consumption through other sources (C)	0	0	
Total energy consumed from renewable sources (A+B+C)	1,328,018	376,322	
From non-renewable sources			
Total electricity consumption (D)	8,160	586,468	
Total fuel consumption (E)	2,595,546	2,792,521	
Energy consumption through other sources (F)	0	0	
Total energy consumed from non-renewable sources (D+E+F]	2,603,706	3,378,989	
