	31 December 2022 (` in million)						
	Gratuity Scheme Funded Plan		Pension Scheme Funded Future Ready Plan		Pension Scheme Unfunded Plan		
							
	-		13,614.2		-		
	-		-		-		
	-		920.4		-		
	-		(1,345.2)		-		
	-		13,189.4		-		
							
							
							
	860.7		-		-		
	38.9		-		-		
	1,184.4		-		-		
	286.4		-		-		
	143.1		-		-		
							
	0.4		-		-		
	2,513.9		-		-		
							
							
	169.3		-		407.1		
	-		-		-		
	-		-		21.2		
	169.6		920.4		551.9		
	(160.8)		(920.4)		-		
	178.1		-		980.2		
							
							
							
	(124.6)		-		(814.9)		
	-		-		-		
	3.6		-		(671.0)		
	84.5		-		-		
	(36.5)		-		(1,485.9)		
							
